dirk,score=1.44739221261535
#unlucky,score=1.44739221261535
compatible,score=1.44739221261535
#cricket,score=1.44739221261535
#pale,score=1.44739221261535
#badday,score=1.44739221261535
weathers,score=1.44739221261535
#bummer,score=1.44739221261535
sleepovers,score=1.44739221261535
aches,score=1.44287753226082
#pain,score=1.44106808086588
#senioryear,score=1.43212474048456
#crying,score=1.42954907904777
#gone,score=1.42207440463106
weeping,score=1.42207440463106
newtown,score=1.41922133564865
coping,score=1.41823562832389
#cry,score=1.4155170040849
misty,score=1.4096518846325
#tragic,score=1.39738179204069
unrealistic,score=1.39390352766436
unopened,score=1.39390352766436
nooooooo,score=1.39390352766436
bawl,score=1.39390352766436
meanie,score=1.39390352766436
#weak,score=1.38433407664821
#foreveralone,score=1.38172310910749
crushed,score=1.37790318631792
ctfu,score=1.37328424046163
sry,score=1.37328424046163
jurassic,score=1.37328424046163
#migraine,score=1.37328424046163
#mixedemotions,score=1.37328424046163
#toocold,score=1.37328424046163
#brokenhearted,score=1.37328424046163
#pms,score=1.37328424046163
desperation,score=1.37328424046163
longing,score=1.37328424046163
ruled,score=1.37328424046163
lori,score=1.37328424046163
nostalgia,score=1.37328424046163
hostess,score=1.37328424046163
miss,score=1.36957487552764
#zombies,score=1.36491599079111
#children,score=1.36313186899761
sunshine,score=1.36275782747464
loneliness,score=1.36038083562572
#blackops2,score=1.35835859024495
deactivated,score=1.35558466336223
tsk,score=1.35558466336223
#darkness,score=1.34511336349493
#unhappy,score=1.34022337820074
#nostalgic,score=1.33327890584793
criticise,score=1.33327890584793
dere,score=1.33327890584793
void,score=1.33327890584793
twitcam,score=1.33327890584793
huhu,score=1.33327890584793
#wah,score=1.33072462604283
#sigh,score=1.32960917695897
boooo,score=1.32676422482674
bawling,score=1.32676422482674
sadly,score=1.31487347830521
#miss,score=1.30429136897468
#memories,score=1.30429136897468
lola,score=1.30429136897468
hopping,score=1.30429136897468
#sickness,score=1.30429136897468
#day,score=1.30429136897468
foggy,score=1.30429136897468
#plan,score=1.30429136897468
brighten,score=1.30429136897468
pon,score=1.30429136897468
#weakness,score=1.30429136897468
autograph,score=1.30429136897468
connecticut,score=1.28729379260611
poland,score=1.2823124622559
gummy,score=1.2823124622559
dx,score=1.2823124622559
twinkie,score=1.27612049200798
#single,score=1.27612049200798
devastating,score=1.2650706558214
comfort,score=1.2650706558214
lp,score=1.2650706558214
#over,score=1.25917093369421
